suburb,sale_date,sale_price,address,bedrooms,bathrooms,car_spaces,property_type,area_m2,area_type,source_url
Liverpool,2026-08-13,550000,401/21 Charles St,2,2,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-13,555000,601/17 Shepherd St,2,2,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-12,610000,805/311 Hume Hwy,2,2,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-10,385000,32/17-19 Speed St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-10,420000,8/22 Nagle St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-10,515000,91/1 Riverpark Dr,2,1,2.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-10,962000,1/10 Tobruk Ave,4,3,1.0,Townhouse,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-07,730000,5/33 Bathurst St,3,2,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-06,410000,4/26 Speed St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-04,395000,10/94-100 Bigge St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-03,430000,34/4-6 Lachlan St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-03,625000,50/24 Lachlan St,3,2,4.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-03,748000,1903/311 Hume Hwy,3,2,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-01,800000,57 Pearce St,3,1,1.0,House,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-07-31,300000,20/22 Speed St,1,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-07-29,425000,31/32 Castlereagh St,1,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-07-29,435000,4/81 Memorial Ave,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-07-28,412000,1/58-60 Copeland St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-07-25,976000,9 Anastasio Rd,3,1,2.0,House,450.0,Land,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-07-24,385000,32/19 Speed St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-07-22,380000,15/52 Speed St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-07-21,380000,24 Copeland St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-03,960000,45 Birkdale Cres,3,1,1.0,House,557.4,Land,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-07-20,625000,2508/311 Hume Hwy,2,2,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
